,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
309,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-23-03.578686575,79,1900-01-01 15:23:03.578686575
310,1,172.21.134.247,=>,544b,544b,544b,136B,15-24-19.906403502,136,1900-01-01 15:24:19.906403502
311,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-24-19.906403502,864,1900-01-01 15:24:19.906403502
312,1,172.21.134.247,=>,544b,544b,544b,136B,15-26-10.674035074,136,1900-01-01 15:26:10.674035074
313,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-26-10.674035074,864,1900-01-01 15:26:10.674035074
314,1,172.21.134.247,=>,756b,756b,756b,189B,15-25-58.715177032,189,1900-01-01 15:25:58.715177032
315,,L02197.DIRECTORY.INTRA,<=,2.52Kb,2.52Kb,2.52Kb,644B,15-25-58.715177032,644,1900-01-01 15:25:58.715177032
316,2,172.21.143.255,=>,0b,0b,0b,0B,15-25-58.715177032,0,1900-01-01 15:25:58.715177032
317,,L02197.DIRECTORY.INTRA,<=,272b,272b,272b,68B,15-25-58.715177032,68,1900-01-01 15:25:58.715177032
318,1,172.21.134.247,=>,0b,0b,0b,0B,15-23-33.378876871,0,1900-01-01 15:23:33.378876871
319,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-23-33.378876871,432,1900-01-01 15:23:33.378876871
320,1,172.21.134.247,=>,544b,544b,544b,136B,15-21-11.582280782,136,1900-01-01 15:21:11.582280782
321,,L02197.DIRECTORY.INTRA,<=,3.73Kb,3.73Kb,3.73Kb,956B,15-21-11.582280782,956,1900-01-01 15:21:11.582280782
322,2,172.21.143.255,=>,0b,0b,0b,0B,15-21-11.582280782,0,1900-01-01 15:21:11.582280782
323,,L02197.DIRECTORY.INTRA,<=,272b,272b,272b,68B,15-21-11.582280782,68,1900-01-01 15:21:11.582280782
324,1,172.21.134.247,=>,636b,636b,636b,159B,15-18-40.893180807,159,1900-01-01 15:18:40.893180807
325,,L02197.DIRECTORY.INTRA,<=,4.48Kb,4.48Kb,4.48Kb,1.12KB,15-18-40.893180807,1120,1900-01-01 15:18:40.893180807
